ID,Coordenadas,Features,Cluster
77,"[-16, -45]","[77.0, 2.917493, 3.301819, 0.0, 51.113352, 8.200271]",2
73,"[-20, -46]","[73.0, 4.113011, 3.079934, 0.0, 47.696486, 7.760321]",2
24,"[-38, -45]","[24.0, 12.064113, 11.827086, 6.59829, 155.853411, 22.0]",2
12,"[-42, -46]","[12.0, 6.529752, 2.76614, -8.653608, 39.067497, 6.919771]",2
6,"[-44, -45]","[6.0, 17.006515, 10.430685, 5.761563, 161.021077, 19.875182]",2
2,"[-45, -45]","[2.0, 6.535499, 1.79615, -8.667973, 42.397491, 8.210136]",2
3,"[-45, -44]","[3.0, 19.491712, 12.477227, 8.733333, 162.877215, 21.379534]",2
20,"[-39, -44]","[20.0, 18.308132, 11.061699, 8.724641, 163.656172, 19.468735]",2
42,"[-30, -44]","[42.0, 16.39837, 14.010772, 8.733333, 152.742018, 18.284363]",2
97,"[-6, -44]","[97.0, 14.990292, 7.083113, 1.333744, 75.904677, 13.849127]",2
74,"[-20, -43]","[74.0, 9.63157, 4.5763, -1.489528, 60.162669, 9.888004]",2
53,"[-26, -42]","[53.0, 12.043454, 11.265729, 5.005327, 149.94131, 19.907222]",2
44,"[-30, -42]","[44.0, 11.805575, 13.744673, 8.593092, 169.492747, 14.241684]",2
43,"[-30, -43]","[43.0, 8.685091, 3.69916, -5.450457, 53.670826, 11.511826]",2
35,"[-33, -42]","[35.0, 9.613316, 3.137025, -5.016304, 45.458411, 10.705794]",2
21,"[-39, -43]","[21.0, 7.077159, 3.411491, -8.044661, 30.16879, 8.55111]",2
8,"[-43, -43]","[8.0, 22.0, 12.673699, 8.733333, 177.710196, 22.0]",2
4,"[-45, -43]","[4.0, 12.728331, 11.039033, 4.954955, 158.25225, 19.982589]",2
0,"[-46, -43]","[0.0, 19.968569, 12.646971, 8.733333, 153.064046, 20.65927]",2
16,"[-41, -40]","[16.0, 10.167555, 12.853087, 6.590988, 151.428968, 19.839355]",2
47,"[-29, -41]","[47.0, 15.819743, 11.406358, 8.56363, 151.294372, 14.819778]",2
94,"[-10, -39]","[94.0, 7.64504, 7.215143, -0.0, 87.674629, 21.876676]",2
57,"[-25, -39]","[57.0, 11.702798, 10.580652, 3.679298, 156.481108, 19.626147]",2
54,"[-26, -40]","[54.0, 7.200726, 4.138465, -4.186805, 49.018445, 11.993648]",2
39,"[-31, -40]","[39.0, 17.669564, 11.646377, 8.597764, 172.814578, 16.118066]",2
38,"[-32, -39]","[38.0, 18.065668, 12.496684, 8.733333, 168.175163, 11.5014]",2
31,"[-34, -38]","[31.0, 10.994825, 2.819261, -4.54578, 21.710455, 8.800752]",2
36,"[-33, -38]","[36.0, 6.639634, 3.327512, -8.538741, 61.359997, 5.402908]",2
99,"[-5, -29]","[99.0, 9.044151, 7.995873, -0.0, 69.47322, 15.264645]",2
58,"[-25, -36]","[58.0, 13.292448, 10.770606, 4.443789, 168.368367, 18.163417]",2
45,"[-30, -36]","[45.0, 10.631273, 12.12834, 6.917301, 153.672933, 19.015965]",2
40,"[-31, -36]","[40.0, 17.305752, 11.270555, 8.645603, 162.695407, 17.14422]",2
26,"[-36, -37]","[26.0, 10.858132, 11.702873, 6.189005, 156.091013, 20.456623]",2
13,"[-42, -38]","[13.0, 19.659728, 10.250449, 5.138845, 176.877788, 3.517115]",2
1,"[-46, -39]","[1.0, 15.614816, 12.171586, 8.716789, 180.107718, 22.0]",2
17,"[-41, -37]","[17.0, 17.489833, 13.944398, 8.733333, 154.063582, 20.904236]",2
25,"[-38, -37]","[25.0, 12.4285, 12.161364, 8.507703, 195.266778, 22.0]",2
27,"[-36, -36]","[27.0, 19.450484, 12.279785, 8.733333, 161.743397, 22.0]",2
37,"[-33, -34]","[37.0, 17.434508, 10.573564, 6.346324, 153.751362, 17.854726]",2
98,"[-6, -22]","[98.0, 13.53279, 8.097442, 0.733333, 66.812825, 18.422887]",2
91,"[-7, -8]","[91.0, 2.769136, 0.516691, 0.0, 87.008144, 19.169085]",2
76,"[-18, -32]","[76.0, 3.00066, 2.519063, 0.0, 44.674335, 7.360955]",2
96,"[-8, -23]","[96.0, 12.899556, 8.475861, 2.117775, 70.094678, 15.242208]",2
55,"[-26, -31]","[55.0, 7.666905, 2.684228, -6.359078, 43.681796, 8.432005]",2
90,"[-10, -7]","[90.0, 6.334251, 4.756492, -0.635086, 74.944493, 15.57624]",2
89,"[-12, -8]","[89.0, 3.407232, 3.566048, 0.0, 48.875725, 14.30175]",2
81,"[-30, -6]","[81.0, 10.123368, 8.879677, -0.0, 77.730495, 16.503744]",2
84,"[-23, -5]","[84.0, 12.137933, 6.323999, 0.615687, 70.460645, 16.012553]",2
82,"[-29, -2]","[82.0, 12.860408, 10.30719, 2.969067, 79.421156, 15.563499]",2
59,"[-45, -18]","[59.0, 14.410496, 8.826555, 4.087614, 60.893328, 15.769451]",2
60,"[-44, -18]","[60.0, 10.664471, 2.715859, -4.629694, 54.421333, 12.247547]",2
62,"[-41, -16]","[62.0, 15.142603, 8.682964, 4.692125, 58.720232, 14.711614]",2
63,"[-40, -18]","[63.0, 2.871448, 2.688055, 0.0, 29.079066, 13.598841]",2
64,"[-39, -18]","[64.0, 19.191353, 8.244475, 4.666667, 63.726773, 14.614737]",2
80,"[-38, -3]","[80.0, 9.831134, 7.546451, -0.0, 73.111617, 17.974707]",2
66,"[-35, -17]","[66.0, 8.841845, 4.858593, -0.553774, 44.451139, 11.431037]",2
88,"[-12, -9]","[88.0, 13.53279, 8.097442, 0.733333, 66.812825, 18.422887]",2
5,"[-45, -27]","[5.0, 15.8778, 12.030299, 8.729637, 149.631566, 19.583654]",2
65,"[-37, -21]","[65.0, 12.920092, 7.060465, 2.155324, 90.634596, 16.779567]",2
67,"[-33, -19]","[67.0, 4.085124, 3.449378, 0.0, 56.287365, 8.304987]",2
68,"[-33, -17]","[68.0, 4.48171, 0.503113, 0.0, 59.702013, 6.74329]",2
83,"[-24, -12]","[83.0, 13.11087, 8.93175, 2.484938, 89.401449, 16.406721]",2
86,"[-20, -12]","[86.0, 8.41541, 6.932362, 0.0, 84.271993, 15.243922]",2
87,"[-13, -12]","[87.0, 2.836233, 0.692571, 0.0, 78.133507, 19.679015]",2
61,"[-41, -23]","[61.0, 3.212469, 1.601862, 0.0, 53.12323, 10.699467]",2
10,"[-43, -29]","[10.0, 22.0, 11.802657, 8.681083, 155.765712, 22.0]",2
11,"[-43, -27]","[11.0, 20.909312, 12.54087, 8.733333, 175.105824, 20.851105]",2
19,"[-40, -25]","[19.0, 6.998188, 3.787346, -8.421849, 42.616985, 7.95752]",2
70,"[-26, -14]","[70.0, 9.064606, 4.478958, -1.909632, 34.201337, 14.010172]",2
71,"[-23, -15]","[71.0, 6.337794, 2.070038, -8.681331, 63.140155, 14.681504]",2
69,"[-30, -22]","[69.0, 17.285118, 8.425485, 4.666667, 66.783744, 15.77308]",2
23,"[-39, -26]","[23.0, 18.700333, 12.277799, 8.733333, 166.477552, 19.70798]",2
15,"[-42, -28]","[15.0, 20.569537, 9.666642, 4.722727, 29.693005, 2.632858]",2
14,"[-42, -30]","[14.0, 15.715753, 6.385933, 4.714873, 156.344523, 0.394248]",2
18,"[-41, -30]","[18.0, 14.319811, 13.460013, 8.554428, 161.806641, 22.0]",2
34,"[-34, -27]","[34.0, 19.992348, 13.70006, 8.733333, 63.620945, 0.067995]",2
41,"[-31, -27]","[41.0, 15.356012, 12.287721, 8.695669, 149.247647, 13.292697]",2
95,"[-10, -17]","[95.0, 12.609438, 7.586974, 0.718312, 74.111905, 15.523695]",2
33,"[-34, -29]","[33.0, 6.884444, 2.882202, -8.632896, 54.104826, 10.048893]",2
29,"[-36, -30]","[29.0, 10.614103, 2.744945, -4.646517, 50.455401, 7.099667]",2
30,"[-35, -30]","[30.0, 16.255938, 13.030421, 8.733333, 90.274971, 3.038649]",2
72,"[-19, -22]","[72.0, 20.566222, 8.198897, 4.666667, 87.797933, 14.670449]",2
51,"[-28, -29]","[51.0, 16.195175, 10.763182, 7.223546, 150.951656, 18.079535]",2
46,"[-30, -31]","[46.0, 10.378406, 1.881268, -4.68306, 39.683799, 3.118032]",2
28,"[-36, -34]","[28.0, 12.705023, 12.92966, 8.465677, 148.394801, 18.093903]",2
32,"[-34, -33]","[32.0, 11.514097, 11.550603, 5.653437, 164.607894, 19.001878]",2
48,"[-29, -31]","[48.0, 3.501087, 4.261551, 0.0, 33.33335, 8.449426]",2
50,"[-28, -32]","[50.0, 3.784814, 3.300486, 0.0, 28.954843, 9.867182]",2
56,"[-26, -29]","[56.0, 19.255294, 10.730913, 7.061195, 150.479318, 14.6348]",2
79,"[-16, -24]","[79.0, 4.420615, 2.86818, 0.0, 46.440018, 9.665416]",2
78,"[-16, -25]","[78.0, 8.959163, 5.424461, -0.0, 46.769468, 9.240831]",2
75,"[-19, -25]","[75.0, 14.963949, 7.818157, 4.661786, 105.087725, 14.639037]",2
49,"[-28, -33]","[49.0, 5.316844, 3.120205, -8.585296, 62.462567, 9.982121]",2
52,"[-27, -33]","[52.0, 7.238242, 3.109318, -7.448703, 45.354795, 6.750766]",2
22,"[-39, -35]","[22.0, 17.754548, 12.540633, 8.733333, 142.31586, 22.0]",2
7,"[-44, -37]","[7.0, 14.492657, 11.061753, 7.210573, 150.573337, 20.426554]",2
9,"[-43, -37]","[9.0, 16.590689, 12.383024, 8.733333, 155.38117, 22.0]",2
