ID,Coordenadas,Features,Cluster
381,"[1, 38]","[381.0, 15.20922, 11.347229, 8.601702, 167.90702, 20.90842]",1
380,"[1, 20]","[380.0, 14.252502, 11.729035, 6.713099, 185.383493, 19.735575]",1
192,"[-6, 1]","[192.0, 7.264627, 2.39547, -7.40066, 33.81268, 6.40514]",1
201,"[0, 26]","[201.0, 12.236269, 4.07477, -2.48212, 60.207537, 8.001281]",1
202,"[0, 34]","[202.0, 13.625465, 9.796736, 3.226877, 170.392893, 22.0]",1
198,"[-1, 38]","[198.0, 5.655051, 3.308623, -8.543215, 37.763689, 9.946822]",1
188,"[-7, 6]","[188.0, 4.922562, 3.648679, 0.0, 41.913582, 13.334768]",1
187,"[-7, 5]","[187.0, 6.992401, 3.113597, -8.586707, 35.06981, 8.529733]",1
92,"[-7, -1]","[92.0, 11.580443, 7.973074, -0.0, 84.90773, 15.763964]",1
184,"[-8, 3]","[184.0, 14.942876, 12.270378, 8.648931, 171.86659, 17.722396]",1
185,"[-8, 5]","[185.0, 15.647617, 10.394198, 5.615725, 183.774119, 22.0]",1
197,"[-2, 30]","[197.0, 14.772389, 8.266917, 4.459104, 56.404765, 16.122231]",1
199,"[-1, 42]","[199.0, 6.78224, 2.82317, -8.643556, 48.120238, 7.792357]",1
203,"[0, 43]","[203.0, 15.950677, 1.463106, -4.333516, 121.564936, 14.475078]",1
196,"[-3, 26]","[196.0, 11.514446, 12.420684, 7.97649, 177.984945, 20.582411]",1
194,"[-4, 14]","[194.0, 15.628419, 11.222094, 8.669723, 149.670865, 21.485162]",1
183,"[-9, 47]","[183.0, 16.294144, 12.001027, 8.733333, 106.469987, 15.3052]",1
156,"[-24, 47]","[156.0, 17.689335, 11.088101, 8.718658, 162.942037, 20.382368]",1
133,"[-35, 47]","[133.0, 14.094005, 11.937861, 7.497105, 160.255544, 14.403431]",1
147,"[-28, 46]","[147.0, 12.661543, 7.955163, 0.666667, 80.170498, 12.79403]",1
151,"[-27, 45]","[151.0, 14.147266, 7.222301, 3.815, 89.608252, 15.78683]",1
122,"[-41, 45]","[122.0, 11.906483, 5.012446, -0.0, 86.795956, 12.351801]",1
182,"[-9, 44]","[182.0, 16.179144, 10.662023, 6.73566, 161.202828, 20.178804]",1
186,"[-8, 44]","[186.0, 16.682835, 12.315986, 8.733333, 156.767081, 19.653215]",1
161,"[-21, 43]","[161.0, 4.031446, 2.476653, 0.0, 58.726697, 8.785172]",1
126,"[-40, 42]","[126.0, 8.886429, 3.82607, -5.423772, 57.615507, 4.500005]",1
127,"[-38, 42]","[127.0, 16.647596, 12.405493, 8.733333, 164.359442, 20.472257]",1
130,"[-37, 42]","[130.0, 18.538411, 11.407344, 8.562977, 152.254869, 16.307198]",1
144,"[-29, 42]","[144.0, -1.359721, 1.164141, 0.0, 38.427987, 10.14063]",1
170,"[-14, 42]","[170.0, 14.285592, 4.518084, 2.358215, 87.802638, 15.691534]",1
149,"[-28, 41]","[149.0, 15.562313, 7.956416, 4.674038, 72.892649, 14.879745]",1
141,"[-30, 41]","[141.0, 13.64898, 12.661536, 8.428675, 175.26078, 21.744555]",1
107,"[-46, 41]","[107.0, 15.806927, 10.877688, 7.865201, 160.963929, 20.658996]",1
158,"[-23, 40]","[158.0, 8.515915, 2.124126, -5.446991, 47.295969, 4.533412]",1
169,"[-15, 40]","[169.0, 11.88172, 7.837498, -0.0, 66.620233, 16.497981]",1
166,"[-17, 39]","[166.0, 8.479397, 2.095274, -5.471745, 54.749502, 10.912213]",1
106,"[-46, 39]","[106.0, 19.007339, 12.120501, 8.733333, 157.488307, 22.0]",1
105,"[-46, 38]","[105.0, 8.410331, 6.471207, -0.0, 142.331341, 13.813892]",1
143,"[-29, 38]","[143.0, 14.417958, 12.095142, 8.570826, 156.798038, 22.0]",1
160,"[-22, 38]","[160.0, 12.084367, 8.4147, 0.254636, 84.206837, 16.541139]",1
165,"[-18, 38]","[165.0, 17.143989, 10.737435, 7.093797, 161.640103, 20.838105]",1
191,"[-7, 38]","[191.0, 14.875596, 10.153871, 4.740828, 153.520884, 20.329431]",1
164,"[-18, 37]","[164.0, 12.271475, 11.919022, 7.307552, 177.689916, 15.172135]",1
162,"[-21, 37]","[162.0, 11.591198, 8.550855, -0.0, 61.036955, 16.052979]",1
129,"[-37, 37]","[129.0, 7.772617, 7.154056, -0.0, 74.944574, 15.410411]",1
121,"[-41, 37]","[121.0, 3.831301, 1.763877, 0.0, 46.320168, 7.438742]",1
114,"[-43, 37]","[114.0, 18.778502, 13.082241, 8.733333, 164.901592, 18.497322]",1
136,"[-32, 36]","[136.0, 4.069689, 3.563167, 0.0, 47.495177, 6.433249]",1
171,"[-13, 35]","[171.0, 22.0, 12.970448, 8.733333, 167.652512, 20.059046]",1
135,"[-34, 34]","[135.0, 15.909136, 4.32106, 1.120784, 73.981629, 20.081207]",1
139,"[-31, 34]","[139.0, 3.928759, 2.484731, 0.0, 116.928261, 15.48732]",1
181,"[-9, 34]","[181.0, 18.699423, 10.836594, 7.62125, 161.022484, 21.675419]",1
140,"[-30, 33]","[140.0, 7.914512, 2.42999, -5.981207, 51.01102, 10.592448]",1
113,"[-43, 33]","[113.0, 5.920527, 8.022608, -0.0, 62.745722, 16.555139]",1
108,"[-45, 33]","[108.0, 17.34343, 13.110424, 8.733333, 157.172363, 19.868143]",1
148,"[-28, 32]","[148.0, 16.207548, 8.923932, 4.666667, 100.243326, 17.908512]",1
195,"[-4, 30]","[195.0, 5.984131, 2.746055, -8.657046, 51.001425, 6.174258]",1
175,"[-11, 31]","[175.0, 13.285559, 8.458221, 2.766279, 68.017008, 15.670289]",1
154,"[-25, 31]","[154.0, 2.086532, 1.194627, 0.0, 51.125113, 7.106909]",1
119,"[-42, 30]","[119.0, 13.919479, 12.400738, 8.481973, 158.831157, 21.562607]",1
134,"[-34, 30]","[134.0, 15.945527, 12.263206, 8.731688, 147.712084, 6.165062]",1
142,"[-29, 30]","[142.0, 19.194121, 6.9935, 4.666753, 86.223939, 14.902132]",1
190,"[-7, 30]","[190.0, 13.327698, 7.702873, 2.83339, 76.463774, 15.792697]",1
193,"[-6, 28]","[193.0, 14.380375, 10.146992, 4.082034, 167.963676, 19.845524]",1
180,"[-10, 29]","[180.0, 12.696982, 9.801852, 1.731521, 138.971833, 16.028933]",1
159,"[-22, 29]","[159.0, 7.909883, 8.122231, -0.0, 77.499677, 15.251123]",1
104,"[-46, 28]","[104.0, 12.746751, 4.145362, -0.855434, 37.768785, 8.707429]",1
138,"[-31, 25]","[138.0, 5.39179, 2.177707, -8.725196, 52.98887, 8.142414]",1
137,"[-31, 24]","[137.0, 21.407085, 11.731817, 8.646864, 158.875633, 19.337319]",1
150,"[-27, 17]","[150.0, 9.372223, 7.103554, -0.0, 74.314304, 16.405493]",1
179,"[-10, 22]","[179.0, 2.958138, 3.676978, 0.0, 34.797356, 8.87237]",1
174,"[-11, 26]","[174.0, 12.97235, 8.927011, 2.246926, 152.219065, 17.553308]",1
168,"[-15, 22]","[168.0, 14.799967, 12.405605, 8.629625, 163.615872, 16.092579]",1
189,"[-7, 16]","[189.0, 1.280942, 0.867905, 0.0, 63.044938, 6.478031]",1
103,"[-46, 27]","[103.0, 5.860461, 3.747734, -8.432975, 48.97467, 6.964802]",1
128,"[-37, 24]","[128.0, 10.545686, 7.540925, -0.0, 71.552663, 16.948567]",1
132,"[-36, 23]","[132.0, 6.56836, 2.708137, -8.663115, 44.362169, 2.493084]",1
146,"[-28, 13]","[146.0, 13.949073, 2.711744, -4.391589, 35.130381, 1.419517]",1
172,"[-12, 13]","[172.0, 16.599174, 7.615372, 4.666667, 71.574445, 16.110898]",1
173,"[-11, 13]","[173.0, 9.715677, 9.701335, -0.0, 64.058163, 15.104887]",1
178,"[-10, 10]","[178.0, 12.055242, 8.059571, 0.167901, 100.500427, 16.717442]",1
177,"[-10, 5]","[177.0, 8.655679, 7.966898, -0.0, 89.78038, 14.271649]",1
153,"[-26, 11]","[153.0, 2.059254, 3.97862, 0.0, 46.151528, 7.66681]",1
163,"[-19, 11]","[163.0, 15.070328, 10.913041, 8.013386, 148.575718, 21.612178]",1
176,"[-10, 1]","[176.0, 8.223078, 3.428623, -5.663127, 50.953577, 3.084003]",1
112,"[-44, 21]","[112.0, 15.059933, 9.412233, 4.696813, 68.269677, 15.436031]",1
111,"[-44, 20]","[111.0, 18.007474, 11.786733, 8.673856, 163.925753, 18.102608]",1
118,"[-42, 20]","[118.0, 17.312289, 12.809972, 8.733333, 145.196948, 15.085445]",1
117,"[-42, 12]","[117.0, 16.082393, 11.010437, 8.732073, 171.521658, 20.185948]",1
125,"[-40, 12]","[125.0, 14.078645, 11.485118, 6.394478, 143.066563, 15.616916]",1
124,"[-40, 10]","[124.0, 12.687214, 12.272228, 8.468529, 124.984706, 9.631009]",1
145,"[-28, 9]","[145.0, 12.815026, 6.966181, 1.961229, 68.766857, 16.721367]",1
167,"[-16, 3]","[167.0, 15.049879, 11.713315, 8.636926, 165.529783, 15.896726]",1
157,"[-23, 8]","[157.0, 20.733657, 13.194806, 8.733333, 159.324937, 3.109393]",1
123,"[-40, 9]","[123.0, 10.547562, 9.665497, -0.0, 102.033311, 15.700175]",1
110,"[-44, 16]","[110.0, 13.074266, 7.881066, 0.737126, 60.618858, 14.787623]",1
102,"[-46, 16]","[102.0, 7.574387, 6.796732, -0.0, 88.099721, 15.636219]",1
116,"[-42, 7]","[116.0, 10.790897, 12.652699, 7.052666, 152.221562, 22.0]",1
115,"[-42, 5]","[115.0, 16.806672, 11.84313, 8.697298, 149.468976, 17.65223]",1
152,"[-26, 5]","[152.0, 10.273764, 5.177779, -0.0, 30.589864, 4.903447]",1
155,"[-24, 5]","[155.0, 14.900526, 7.917097, 0.733333, 74.932244, 12.72651]",1
120,"[-41, 4]","[120.0, 17.62586, 12.046435, 8.733333, 151.902624, 14.098593]",1
85,"[-22, -2]","[85.0, 14.915804, 8.905569, 0.733333, 67.994829, 13.857434]",1
109,"[-44, 1]","[109.0, 17.407897, 12.412035, 8.733333, 168.836171, 21.191128]",1
131,"[-36, 1]","[131.0, 21.658741, 12.886377, 8.733333, 156.137653, 16.141076]",1
